nome_municipio,protocolo_licitacao,situacao_proposta,valor_proposta
Aguiar,Doc. 31657/20,Vencedora,22000.0
Alagoa Grande,Doc. 34890/20,Perdedora,16560.0
Alagoa Grande,Doc. 34890/20,Vencedora,13500.0
Alagoa Grande,Doc. 34920/20,Perdedora,35412.5
Alagoa Grande,Doc. 34920/20,Vencedora,32520.0
Alagoa Grande,Doc. 44374/20,Perdedora,26734.5
Alagoa Grande,Doc. 44374/20,Vencedora,25221.0
Alagoa Grande,Doc. 49720/20,Perdedora,419166.6666666667
Alagoa Grande,Doc. 49720/20,Vencedora,392500.0
Alagoa Grande,Doc. 49748/20,Perdedora,264743.3333333333
Alagoa Grande,Doc. 49748/20,Vencedora,246500.0
Alagoa Nova,Doc. 47607/20,Vencedora,176000.0
Algodão de Jandaíra,Doc. 36567/20,Vencedora,40000.0
Algodão de Jandaíra,Doc. 36575/20,Vencedora,40000.0
Algodão de Jandaíra,Doc. 36583/20,Vencedora,58015.1
Algodão de Jandaíra,Doc. 50059/20,Vencedora,16954.0
Algodão de Jandaíra,Doc. 50061/20,Vencedora,8295.0
Alhandra,Doc. 42306/20,Vencedora,76000.0
Amparo,Doc. 38637/20,Vencedora,17500.0
Amparo,Doc. 43764/20,Vencedora,40640.0
Amparo,Doc. 48389/20,Vencedora,2450.0
Aparecida,Doc. 46318/20,Vencedora,96657.7
Araruna,Doc. 23463/20,Vencedora,120000.0
Araruna,Doc. 27309/20,Vencedora,17124.1
Araruna,Doc. 29664/20,Perdedora,569220.0
Araruna,Doc. 29664/20,Vencedora,556140.0
Araruna,Doc. 34604/20,Vencedora,50000.0
Araruna,Doc. 35672/20,Vencedora,24500.0
Araçagi,Doc. 33648/20,Perdedora,64940.0
Araçagi,Doc. 33648/20,Vencedora,61410.0
Areia,Doc. 23819/20,Perdedora,33883.2525
Areia,Doc. 23819/20,Vencedora,63537.8
Areia,Doc. 25939/20,Perdedora,40500.0
Areia,Doc. 25939/20,Vencedora,33000.0
Areia,Doc. 26467/20,Perdedora,1888.405
Areia,Doc. 26467/20,Vencedora,1140.0
Areia,Doc. 26986/20,Perdedora,2553.2
Areia,Doc. 26986/20,Vencedora,2120.0
Areia,Doc. 27475/20,Perdedora,7800.0
Areia,Doc. 27475/20,Vencedora,5160.0
Areia,Doc. 29434/20,Perdedora,5025.0
Areia,Doc. 29434/20,Vencedora,4335.0
Areia,Doc. 29449/20,Perdedora,172575.0
Areia,Doc. 29449/20,Vencedora,151900.0
Areia,Doc. 32490/20,Perdedora,2240.0
Areia,Doc. 32490/20,Vencedora,1140.0
Areia,Doc. 32723/20,Perdedora,1560.0
Areia,Doc. 32723/20,Vencedora,1087.5
Areia,Doc. 32977/20,Perdedora,28050.0
Areia,Doc. 32977/20,Vencedora,18300.0
Areia,Doc. 33637/20,Perdedora,1232.5
Areia,Doc. 33637/20,Vencedora,1100.0
Areia,Doc. 34179/20,Perdedora,2222.5
Areia,Doc. 34179/20,Vencedora,2075.0
Areia,Doc. 38791/20,Perdedora,11600.0
Areia,Doc. 38791/20,Vencedora,10000.0
Areia,Doc. 39708/20,Perdedora,3780.0
Areia,Doc. 39708/20,Vencedora,3592.0
Areia,Doc. 40029/20,Vencedora,58313.125
Areia,Doc. 40295/20,Perdedora,100500.0
Areia,Doc. 40295/20,Vencedora,100500.0
Areia,Doc. 40626/20,Perdedora,4480.0
Areia,Doc. 40626/20,Vencedora,4560.0
Areia,Doc. 40950/20,Perdedora,70997.5
Areia,Doc. 40950/20,Vencedora,68270.0
Areia,Doc. 43522/20,Perdedora,23200.0
Areia,Doc. 43522/20,Vencedora,12516.333333333334
Areia,Doc. 44377/20,Perdedora,59208.5
Areia,Doc. 44377/20,Vencedora,59208.5
Areia,Doc. 45922/20,Perdedora,59815.0
Areia,Doc. 45922/20,Vencedora,48993.0
Areia,Doc. 51628/20,Perdedora,3426.545
Areia,Doc. 51628/20,Vencedora,3202.5
Areial,Doc. 37152/20,Vencedora,22794.0
Areial,Doc. 42360/20,Vencedora,99000.38
Aroeiras,Doc. 21350/20,Vencedora,55400.0
Aroeiras,Doc. 40647/20,Perdedora,104571.95999999999
Aroeiras,Doc. 40647/20,Vencedora,93453.79
Aroeiras,Doc. 47379/20,Perdedora,128628.01666666666
Aroeiras,Doc. 47379/20,Vencedora,117877.04
Aroeiras,Doc. 47383/20,Vencedora,260000.0
Assunção,Doc. 36317/20,Vencedora,4800.0
Assunção,Doc. 38174/20,Vencedora,2490.0
Assunção,Doc. 42552/20,Vencedora,3350.0
Assunção,Doc. 42555/20,Vencedora,2500.0
Assunção,Doc. 46270/20,Vencedora,3000.0
Assunção,Doc. 46274/20,Vencedora,6000.0
Assunção,Doc. 51181/20,Vencedora,3150.0
Bananeiras,Doc. 30428/20,Vencedora,56162.96
Bananeiras,Doc. 36608/20,Vencedora,45000.0
Bananeiras,Doc. 40895/20,Vencedora,1791.02
Bananeiras,Doc. 40903/20,Vencedora,11800.0
Bananeiras,Doc. 40912/20,Vencedora,13200.0
Bananeiras,Doc. 41082/20,Vencedora,18222.2
Bananeiras,Doc. 41088/20,Vencedora,13450.0
Bananeiras,Doc. 41096/20,Vencedora,3620.0
Bananeiras,Doc. 48503/20,Vencedora,7218.0
Bananeiras,Doc. 49001/20,Vencedora,11500.0
Bananeiras,Doc. 49006/20,Vencedora,7992.0
Barra de Santa Rosa,Doc. 48056/20,Vencedora,32347.4
Barra de Santa Rosa,Doc. 48058/20,Vencedora,4100.0
Barra de Santa Rosa,Doc. 48059/20,Vencedora,7500.0
Barra de Santa Rosa,Doc. 48061/20,Vencedora,25400.0
Barra de Santa Rosa,Doc. 48062/20,Vencedora,1140.0
Barra de Santa Rosa,Doc. 48063/20,Vencedora,28200.0
Barra de Santana,Doc. 38043/20,Perdedora,49836.0
Barra de Santana,Doc. 38043/20,Vencedora,48000.0
Bayeux,Doc. 26272/20,Vencedora,33405.520000000004
Bayeux,Doc. 28703/20,Vencedora,89155.25
Bayeux,Doc. 28757/20,Vencedora,21000.0
Bayeux,Doc. 29076/20,Vencedora,8500.0
Bayeux,Doc. 29086/20,Vencedora,54214.825
Bayeux,Doc. 30005/20,Vencedora,35000.0
Bayeux,Doc. 30021/20,Vencedora,270000.0
Bayeux,Doc. 31763/20,Vencedora,174500.0
Bayeux,Doc. 31777/20,Vencedora,11780.0
Bayeux,Doc. 32577/20,Vencedora,10264.7
Bayeux,Doc. 32582/20,Vencedora,16460.0
Bayeux,Doc. 32590/20,Vencedora,23050.0
Bayeux,Doc. 32597/20,Vencedora,33000.0
Bayeux,Doc. 32770/20,Vencedora,689.5
Bayeux,Doc. 32783/20,Vencedora,17580.0
Bayeux,Doc. 32942/20,Vencedora,25632.0
Bayeux,Doc. 51542/20,Vencedora,43200.0
Belém,Doc. 36616/20,Vencedora,49920.0
Belém,Doc. 36623/20,Vencedora,49920.0
Belém,Doc. 38132/20,Vencedora,8820.0
Belém,Doc. 38628/20,Vencedora,25000.0
Belém,Doc. 38652/20,Vencedora,20015.0
Belém,Doc. 38892/20,Vencedora,4237.5
Belém,Doc. 44182/20,Perdedora,159566.66666666666
Belém,Doc. 44182/20,Vencedora,99000.0
Belém,Doc. 44185/20,Perdedora,159566.66666666666
Belém,Doc. 44185/20,Vencedora,99000.0
Belém,Doc. 44187/20,Perdedora,159566.66666666666
Belém,Doc. 44187/20,Vencedora,99000.0
Belém,Doc. 46344/20,Vencedora,22220.0
Belém do Brejo do Cruz,Doc. 43152/20,Vencedora,159996.3
Bernardino Batista,Doc. 39715/20,Vencedora,10464.114285714286
Bernardino Batista,Doc. 50242/20,Vencedora,10464.114285714286
Boa Ventura,Doc. 33036/20,Vencedora,171882.0
Boa Ventura,Doc. 42758/20,Vencedora,63567.5
Boa Vista,Doc. 29732/20,Vencedora,16800.0
Boa Vista,Doc. 29757/20,Vencedora,3176.0
Boa Vista,Doc. 29773/20,Vencedora,10000.0
Boa Vista,Doc. 29788/20,Vencedora,18600.0
Boa Vista,Doc. 29813/20,Vencedora,24000.0
Boa Vista,Doc. 29832/20,Vencedora,4499.5
Boa Vista,Doc. 29845/20,Vencedora,5000.0
Boa Vista,Doc. 34913/20,Vencedora,18290.0
Boa Vista,Doc. 34928/20,Vencedora,6300.0
Boa Vista,Doc. 34937/20,Vencedora,9000.0
Boa Vista,Doc. 34945/20,Vencedora,4527.36
Boa Vista,Doc. 34966/20,Vencedora,4400.0
Boa Vista,Doc. 34974/20,Vencedora,75000.0
Boa Vista,Doc. 34981/20,Vencedora,14000.0
Boa Vista,Doc. 35641/20,Vencedora,28890.0
Boa Vista,Doc. 35647/20,Vencedora,27300.0
Boa Vista,Doc. 35654/20,Vencedora,70000.0
Boa Vista,Doc. 35666/20,Vencedora,2490.0
Boa Vista,Doc. 37647/20,Perdedora,197966.31578947368
Boa Vista,Doc. 37647/20,Vencedora,135000.0
Boa Vista,Doc. 41654/20,Vencedora,28000.0
Boa Vista,Proc. 14039/20,Perdedora,1034643.9838709678
Boa Vista,Proc. 14039/20,Vencedora,1965659.111111111
Bom Sucesso,Doc. 31403/20,Vencedora,20656.0
Bom Sucesso,Doc. 32294/20,Vencedora,17200.0
Bom Sucesso,Doc. 32322/20,Perdedora,75497.25
Bom Sucesso,Doc. 32322/20,Vencedora,66528.5
Bom Sucesso,Doc. 32327/20,Perdedora,172062.47999999998
Bom Sucesso,Doc. 32327/20,Vencedora,168573.23
Bom Sucesso,Doc. 36786/20,Vencedora,20000.0
Bom Sucesso,Doc. 47683/20,Vencedora,23361.5
Bom Sucesso,Doc. 50427/20,Vencedora,3520.0
Bonito de Santa Fé,Doc. 31955/20,Vencedora,15750.0
Bonito de Santa Fé,Doc. 44001/20,Vencedora,5980.0
Bonito de Santa Fé,Doc. 44133/20,Vencedora,5220.0
Bonito de Santa Fé,Doc. 44175/20,Vencedora,1608.0
Bonito de Santa Fé,Doc. 45751/20,Vencedora,12000.0
Bonito de Santa Fé,Doc. 48224/20,Vencedora,47919.0
Boqueirão,Doc. 24294/20,Vencedora,61678.7
Boqueirão,Doc. 27445/20,Vencedora,32000.0
Boqueirão,Doc. 34447/20,Vencedora,10200.0
Boqueirão,Doc. 34463/20,Vencedora,5909.04
Boqueirão,Doc. 37585/20,Perdedora,1349775.97
Boqueirão,Doc. 37585/20,Vencedora,34104.142857142855
Boqueirão,Doc. 37743/20,Vencedora,18700.0
