nome_municipio,valor_proposta
Campina Grande,30365110.37
João Pessoa,24671873.319999997
Boa Vista,18196204.86
Cabedelo,7032490.61
Pombal,4016306.1
Piancó,3489386.46
Monteiro,3000259.04
Pocinhos,2965958.0500000003
Coremas,2748572.2
Conde,2655388.3
Patos,2366671.28
Santa Rita,2330268.1999999997
Mamanguape,2311371.4
Sousa,2049947.0
Princesa Isabel,1705519.55
Massaranduba,1637905.3
Bayeux,1627708.7999999998
São Bento,1310728.68
Lagoa de Dentro,1216905.0
Mogeiro,1198364.4
Teixeira,987661.4
Jericó,983065.84
Conceição,977030.5
Itaporanga,964369.56
Ingá,889520.8
Areia,854022.8
Salgado de São Félix,843110.2
Pedras de Fogo,819226.84
Guarabira,802919.8699999999
Araruna,767764.1
Alagoa Grande,710241.0
Cuité,660080.0
Riacho dos Cavalos,644622.3300000001
Jacaraú,624480.0
Catolé do Rocha,610364.5800000001
Sapé,609530.0
Santa Luzia,595152.0
Esperança,591391.0
Aroeiras,526730.83
Belém,477132.5
Pedra Branca,458641.24
Solânea,445230.0
Pilar,442629.95999999996
Capim,419041.0
Picuí,407921.71
Lagoa Seca,393151.25
Boqueirão,382321.74
Matinhas,360359.9
São João do Cariri,345329.9
Bom Sucesso,343200.73
Itabaiana,337885.0
Tavares,325600.0
São José de Piranhas,322038.15
Tacima,319337.0
Soledade,317231.42000000004
Pitimbu,315042.05
Caaporã,304150.0
Boa Ventura,299017.0
Pedro Régis,298825.5
Brejo do Cruz,293996.0
Remígio,280168.25
Mari,273336.61
São José do Sabugi,260350.0
São José da Lagoa Tapada,257067.56
Cajazeirinhas,248292.72999999998
Água Branca,247250.0
Bananeiras,246119.13999999998
São Miguel de Taipu,239976.0
Santana de Mangueira,239754.0
Juripiranga,236271.99
Olho d'Água,235242.11
São José dos Ramos,220221.07
Parari,213886.0
Pedra Lavrada,208092.84999999998
Passagem,200940.7
Curral de Cima,197860.0
Caraúbas,194420.0
Rio Tinto,185868.0
Araçagi,184230.0
Sumé,182023.75
Malta,179891.6
Gurjão,178262.0
Alagoa Nova,176000.0
Marizópolis,173653.5
Ibiara,168880.41999999998
Gurinhém,168295.44
Algodão de Jandaíra,163264.1
Belém do Brejo do Cruz,159996.3
Puxinanã,159000.0
Nova Floresta,157555.5
Catingueira,156921.7
Juazeirinho,155202.0
Mãe d'Água,150510.40000000002
Cabaceiras,150117.5
Bernardino Batista,146497.59999999998
Serraria,134288.0
Igaracy,126600.0
Itatuba,126053.0
São João do Tigre,125502.1
Cruz do Espírito Santo,123022.5
Caldas Brandão,122835.3
Areial,121794.38
Nova Olinda,120000.0
Serra Branca,114400.0
Dona Inês,109275.0
São José dos Cordeiros,101974.29999999999
Barra de Santa Rosa,98687.4
Aparecida,96657.7
Curral Velho,96150.0
Damião,92590.41
Nova Palmeira,91918.0
Serra Redonda,91678.0
Carrapateira,89500.0
Cacimbas,88642.49
Bonito de Santa Fé,88477.0
Queimadas,87222.3
Santa Cecília,86961.0
Manaíra,82659.0
Condado,82161.5
São José de Espinharas,81178.0
Monte Horebe,80436.0
Montadas,80000.0
Itapororoca,78425.0
São Sebastião do Umbuzeiro,78001.9
Mataraca,77571.45
Imaculada,76800.0
Tenório,76238.65000000001
Alhandra,76000.0
São José do Bonfim,74261.12
Camalaú,65500.0
Gado Bravo,65376.0
Riachão do Bacamarte,64350.0
Amparo,60590.0
Riacho de Santo Antônio,56298.0
São Vicente do Seridó,50000.0
Barra de Santana,48000.0
Cajazeiras,48000.0
Santa Terezinha,45000.0
Santo André,44787.5
Lucena,44000.0
São Sebastião de Lagoa de Roça,39900.0
Várzea,39464.4
Cachoeira dos Índios,34923.0
Caturité,34531.0
Livramento,33320.0
Quixaba,32974.0
Borborema,32890.17
Assunção,31990.0
Pilões,30000.0
Paulista,26306.0
São José de Princesa,25462.0
Juarez Távora,24850.0
Marcação,24000.0
Maturéia,22000.0
Aguiar,22000.0
Juru,20400.0
Cuité de Mamanguape,15900.0
Umbuzeiro,11640.0
Pirpirituba,5000.0
São José do Brejo do Cruz,4857.5
