,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Lagoa Seca,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.8571428571428571,2.0,4.285714285714286,11.285714285714286,9.285714285714286,6.0,15.142857142857142,9.571428571428571,9.857142857142858,3.7142857142857144,8.142857142857142,7.142857142857143,0.8571428571428571,4.714285714285714,2.857142857142857,3.142857142857143
Bom Sucesso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.0,0.7142857142857143,0.0
São João do Tigre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0
Baía da Traição,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.142857142857143,2.5714285714285716,4.285714285714286,4.142857142857143,8.285714285714286,11.285714285714286,10.142857142857142,7.285714285714286,7.571428571428571,6.714285714285714,6.0,8.571428571428571,2.0
Bernardino Batista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
Mãe d'Água,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,1.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285
Quixaba,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,-0.14285714285714285,0.2857142857142857,1.5714285714285714,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857
Mari,0.0,0.0,0.0,0.0,0.14285714285714285,1.7142857142857142,4.142857142857143,2.5714285714285716,4.428571428571429,6.571428571428571,6.714285714285714,5.571428571428571,12.0,13.0,23.428571428571427,17.0,26.428571428571427,18.428571428571427,4.142857142857143,8.714285714285714,6.714285714285714,3.0
Curral Velho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
Santa Helena,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,-0.14285714285714285,0.0,0.0,0.14285714285714285
Damião,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.4285714285714286,0.7142857142857143,0.42857142857142855
Camalaú,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,2.4285714285714284
Lagoa de Dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,2.7142857142857144,1.7142857142857142,1.1428571428571428,2.5714285714285716,3.5714285714285716,1.8571428571428572,1.4285714285714286,0.42857142857142855,2.142857142857143,0.42857142857142855
Itapororoca,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.1428571428571428,0.8571428571428571,1.4285714285714286,1.7142857142857142,0.8571428571428571,6.714285714285714,8.571428571428571,8.142857142857142,12.571428571428571,13.428571428571429,15.285714285714286,14.0,9.285714285714286,10.714285714285714,4.428571428571429,8.714285714285714
Rio Tinto,0.0,0.0,0.0,0.0,0.0,1.0,1.1428571428571428,0.5714285714285714,3.4285714285714284,6.571428571428571,10.285714285714286,8.714285714285714,18.0,16.571428571428573,18.428571428571427,21.857142857142858,13.142857142857142,11.285714285714286,9.857142857142858,4.0,6.857142857142857,5.714285714285714
Riachão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,1.1428571428571428,1.1428571428571428,0.8571428571428571,0.8571428571428571,1.0,1.2857142857142858,1.2857142857142858,1.7142857142857142,0.42857142857142855,0.42857142857142855,0.42857142857142855
Bonito de Santa Fé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.42857142857142855,0.0,0.7142857142857143,0.5714285714285714,0.8571428571428571,1.0,2.0
Santo André,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,1.0,0.14285714285714285,0.0,-0.14285714285714285,0.0,0.0
Picuí,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,2.5714285714285716,1.7142857142857142,2.2857142857142856,2.2857142857142856,2.4285714285714284,3.5714285714285716,3.857142857142857,2.857142857142857,2.2857142857142856,0.7142857142857143,2.857142857142857,4.0,4.857142857142857
Olivedos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.7142857142857143,1.8571428571428572,1.4285714285714286,1.1428571428571428,0.8571428571428571,1.0,1.5714285714285714,1.0,1.0,1.4285714285714286,1.4285714285714286
Jericó,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.5714285714285714,1.2857142857142858,1.5714285714285714,0.42857142857142855
São José de Caiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.0,0.14285714285714285,0.2857142857142857,1.0,0.0,0.0,0.0,0.5714285714285714,1.5714285714285714,0.14285714285714285,0.2857142857142857
Marizópolis,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1.5714285714285714,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.0
Mato Grosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
