,Municipio,População,estado
0,Água Branca ,10306,PB
1,Aguiar ,5630,PB
2,Alagoa Grande ,28439,PB
3,Alagoa Nova ,20921,PB
4,Alagoinha ,14560,PB
5,Alcantil ,5509,PB
6,Algodão de Jandaíra ,2577,PB
7,Alhandra ,19727,PB
8,São João do Rio do Peixe ,18026,PB
9,Amparo ,2251,PB
10,Aparecida ,8416,PB
11,Araçagi ,16921,PB
12,Arara ,13542,PB
13,Araruna ,20463,PB
14,Areia ,22656,PB
15,Areia de Baraúnas ,2116,PB
16,Areial ,7027,PB
17,Aroeiras ,19116,PB
18,Assunção ,4029,PB
19,Baía da Traição ,9096,PB
20,Bananeiras ,21269,PB
21,Baraúna ,4964,PB
22,Barra de Santana ,8349,PB
23,Barra de Santa Rosa ,15497,PB
24,Barra de São Miguel ,6065,PB
25,Bayeux ,97203,PB
26,Belém ,17705,PB
27,Belém do Brejo do Cruz ,7349,PB
28,Bernardino Batista ,3536,PB
29,Boa Ventura ,5307,PB
30,Boa Vista ,7136,PB
31,Bom Jesus ,2575,PB
32,Bom Sucesso ,4956,PB
33,Bonito de Santa Fé ,12022,PB
34,Boqueirão ,17870,PB
35,Igaracy ,6105,PB
36,Borborema ,5287,PB
37,Brejo do Cruz ,14206,PB
38,Brejo dos Santos ,6464,PB
39,Caaporã ,21955,PB
40,Cabaceiras ,5661,PB
41,Cabedelo ,68767,PB
42,Cachoeira dos Índios ,10305,PB
43,Cacimba de Areia ,3695,PB
44,Cacimba de Dentro ,17178,PB
45,Cacimbas ,7199,PB
46,Caiçara ,7191,PB
47,Cajazeiras ,62289,PB
48,Cajazeirinhas ,3205,PB
49,Caldas Brandão ,6046,PB
50,Camalaú ,6031,PB
51,Campina Grande ,411807,PB
52,Capim ,6620,PB
53,Caraúbas ,4185,PB
54,Carrapateira ,2687,PB
55,Casserengue ,7499,PB
56,Catingueira ,4935,PB
57,Catolé do Rocha ,30684,PB
58,Caturité ,4875,PB
59,Conceição ,19007,PB
60,Condado ,6658,PB
61,Conde ,25010,PB
62,Congo ,4787,PB
63,Coremas ,15441,PB
64,Coxixola ,1935,PB
65,Cruz do Espírito Santo ,17461,PB
66,Cubati ,7832,PB
67,Cuité ,20334,PB
68,Cuitegi ,6775,PB
69,Cuité de Mamanguape ,6356,PB
70,Curral de Cima ,5218,PB
71,Curral Velho ,2512,PB
72,Damião ,5370,PB
73,Desterro ,8315,PB
74,Vista Serrana ,3824,PB
75,Diamante ,6528,PB
76,Dona Inês ,10413,PB
77,Duas Estradas ,3582,PB
78,Emas ,3539,PB
79,Esperança ,33199,PB
80,Fagundes ,11215,PB
81,Frei Martinho ,2989,PB
82,Gado Bravo ,8303,PB
83,Guarabira ,59115,PB
84,Gurinhém ,14127,PB
85,Gurjão ,3453,PB
86,Ibiara ,5903,PB
87,Imaculada ,11848,PB
88,Ingá ,18144,PB
89,Itabaiana ,24419,PB
90,Itaporanga ,24828,PB
91,Itapororoca ,18823,PB
92,Itatuba ,11016,PB
93,Jacaraú ,14450,PB
94,Jericó ,7745,PB
95,João Pessoa ,817511,PB
96,Juarez Távora ,7976,PB
97,Juazeirinho ,18298,PB
98,Junco do Seridó ,7195,PB
99,Juripiranga ,10793,PB
100,Juru ,9849,PB
101,Lagoa ,4653,PB
102,Lagoa de Dentro ,7737,PB
103,Lagoa Seca ,27617,PB
104,Lastro ,2718,PB
105,Livramento ,7265,PB
106,Logradouro ,4369,PB
107,Lucena ,13214,PB
108,Mãe d'Água ,3999,PB
109,Malta ,5752,PB
110,Mamanguape ,45136,PB
111,Manaíra ,10972,PB
112,Marcação ,8653,PB
113,Mari ,21866,PB
114,Marizópolis ,6654,PB
115,Massaranduba ,13998,PB
116,Mataraca ,8539,PB
117,Matinhas ,4515,PB
118,Mato Grosso ,2926,PB
119,Maturéia ,6630,PB
120,Mogeiro ,13261,PB
121,Montadas ,5738,PB
122,Monte Horebe ,4842,PB
123,Monteiro ,33433,PB
124,Mulungu ,9932,PB
125,Natuba ,10451,PB
126,Nazarezinho ,7286,PB
127,Nova Floresta ,10626,PB
128,Nova Olinda ,5920,PB
129,Nova Palmeira ,4959,PB
130,Olho d'Água ,6462,PB
131,Olivedos ,3961,PB
132,Ouro Velho ,3046,PB
133,Parari ,1758,PB
134,Passagem ,2436,PB
135,Patos ,108192,PB
136,Paulista ,12379,PB
137,Pedra Branca ,3802,PB
138,Pedra Lavrada ,7899,PB
139,Pedras de Fogo ,28533,PB
140,Piancó ,16111,PB
141,Picuí ,18720,PB
142,Pilar ,11977,PB
143,Pilões ,6576,PB
144,Pilõezinhos ,4955,PB
145,Pirpirituba ,10584,PB
146,Pitimbu ,19275,PB
147,Pocinhos ,18708,PB
148,Poço Dantas ,3882,PB
149,Poço de José de Moura ,4337,PB
150,Pombal ,32802,PB
151,Prata ,4238,PB
152,Princesa Isabel ,23549,PB
153,Puxinanã ,13741,PB
154,Queimadas ,44179,PB
155,Quixaba ,1983,PB
156,Remígio ,19798,PB
157,Pedro Régis ,6114,PB
158,Riachão ,3619,PB
159,Riachão do Bacamarte ,4541,PB
160,Riachão do Poço ,4540,PB
161,Riacho de Santo Antônio ,1974,PB
162,Riacho dos Cavalos ,8541,PB
163,Rio Tinto ,24218,PB
164,Salgadinho ,3931,PB
165,Salgado de São Félix ,12131,PB
166,Santa Cecília ,6541,PB
167,Santa Cruz ,6581,PB
168,Santa Helena ,5871,PB
169,Santa Inês ,3593,PB
170,Santa Luzia ,15426,PB
171,Santana de Mangueira ,5129,PB
172,Santana dos Garrotes ,6986,PB
173,Joca Claudino ,2639,PB
174,Santa Rita ,137349,PB
175,Santa Teresinha ,4562,PB
176,Santo André ,2509,PB
177,São Bento ,34344,PB
178,São Bentinho ,4566,PB
179,São Domingos do Cariri ,2630,PB
180,São Domingos ,3097,PB
181,São Francisco ,3384,PB
182,São João do Cariri ,4184,PB
183,São João do Tigre ,4415,PB
184,São José da Lagoa Tapada ,7626,PB
185,São José de Caiana ,6376,PB
186,São José de Espinharas ,4656,PB
187,São José dos Ramos ,5998,PB
188,São José de Piranhas ,20329,PB
189,São José de Princesa ,3950,PB
190,São José do Bonfim ,3588,PB
191,São José do Brejo do Cruz ,1811,PB
192,São José do Sabugi ,4147,PB
193,São José dos Cordeiros ,3618,PB
194,São Mamede ,7702,PB
195,São Miguel de Taipu ,7410,PB
196,São Sebastião de Lagoa de Roça ,11728,PB
197,São Sebastião do Umbuzeiro ,3512,PB
198,Sapé ,52804,PB
199,São Vicente do Seridó ,10848,PB
200,Serra Branca ,13754,PB
201,Serra da Raiz ,3131,PB
202,Serra Grande ,2916,PB
203,Serra Redonda ,7021,PB
204,Serraria ,6068,PB
205,Sertãozinho ,5089,PB
206,Sobrado ,7815,PB
207,Solânea ,26227,PB
208,Soledade ,15102,PB
209,Sossêgo ,3594,PB
210,Sousa ,69723,PB
211,Sumé ,17031,PB
212,Tacima ,10969,PB
213,Taperoá ,15441,PB
214,Tavares ,14759,PB
215,Teixeira ,15248,PB
216,Tenório ,3081,PB
217,Triunfo ,9464,PB
218,Uiraúna ,15300,PB
219,Umbuzeiro ,9911,PB
220,Várzea ,2841,PB
221,Vieirópolis ,5372,PB
222,Zabelê ,2255,PB
