data,municipio,casosAcumulado,obitosAcumulado
2020-03-27,Aguiar,0,0
2020-03-27,Alagoa Grande,0,0
2020-03-27,Alagoa Nova,0,0
2020-03-27,Alagoinha,0,0
2020-03-27,Alcantil,0,0
2020-03-27,Algodão de Jandaíra,0,0
2020-03-27,Alhandra,0,0
2020-03-27,Amparo,0,0
2020-03-27,Aparecida,0,0
2020-03-27,Arara,0,0
2020-03-27,Araruna,0,0
2020-03-27,Araçagi,0,0
2020-03-27,Areia,0,0
2020-03-27,Areia de Baraúnas,0,0
2020-03-27,Areial,0,0
2020-03-27,Aroeiras,0,0
2020-03-27,Assunção,0,0
2020-03-27,Bananeiras,0,0
2020-03-27,Baraúna,0,0
2020-03-27,Barra de Santa Rosa,0,0
2020-03-27,Barra de Santana,0,0
2020-03-27,Barra de São Miguel,0,0
2020-03-27,Bayeux,0,0
2020-03-27,Baía da Traição,0,0
2020-03-27,Belém,0,0
2020-03-27,Belém do Brejo do Cruz,0,0
2020-03-27,Bernardino Batista,0,0
2020-03-27,Boa Ventura,0,0
2020-03-27,Boa Vista,0,0
2020-03-27,Bom Jesus,0,0
2020-03-27,Bom Sucesso,0,0
2020-03-27,Bonito de Santa Fé,0,0
2020-03-27,Boqueirão,0,0
2020-03-27,Borborema,0,0
2020-03-27,Brejo do Cruz,0,0
2020-03-27,Brejo dos Santos,0,0
2020-03-27,Caaporã,0,0
2020-03-27,Cabaceiras,0,0
2020-03-27,Cabedelo,0,0
2020-03-27,Cachoeira dos Índios,0,0
2020-03-27,Cacimba de Areia,0,0
2020-03-27,Cacimba de Dentro,0,0
2020-03-27,Cacimbas,0,0
2020-03-27,Caiçara,0,0
2020-03-27,Cajazeiras,0,0
2020-03-27,Cajazeirinhas,0,0
2020-03-27,Caldas Brandão,0,0
2020-03-27,Camalaú,0,0
2020-03-27,Campina Grande,0,0
2020-03-27,Capim,0,0
2020-03-27,Caraúbas,0,0
2020-03-27,Carrapateira,0,0
2020-03-27,Casserengue,0,0
2020-03-27,Catingueira,0,0
2020-03-27,Catolé do Rocha,0,0
2020-03-27,Caturité,0,0
2020-03-27,Conceição,0,0
2020-03-27,Condado,0,0
2020-03-27,Conde,0,0
2020-03-27,Congo,0,0
2020-03-27,Coremas,0,0
2020-03-27,Coxixola,0,0
2020-03-27,Cruz do Espírito Santo,0,0
2020-03-27,Cubati,0,0
2020-03-27,Cuitegi,0,0
2020-03-27,Cuité,0,0
2020-03-27,Cuité de Mamanguape,0,0
2020-03-27,Curral Velho,0,0
2020-03-27,Curral de Cima,0,0
2020-03-27,Damião,0,0
2020-03-27,Desterro,0,0
2020-03-27,Diamante,0,0
2020-03-27,Dona Inês,0,0
2020-03-27,Duas Estradas,0,0
2020-03-27,Emas,0,0
2020-03-27,Esperança,0,0
2020-03-27,Fagundes,0,0
2020-03-27,Frei Martinho,0,0
2020-03-27,Gado Bravo,0,0
2020-03-27,Guarabira,0,0
2020-03-27,Gurinhém,0,0
2020-03-27,Gurjão,0,0
2020-03-27,Ibiara,0,0
2020-03-27,Igaracy,0,0
2020-03-27,Imaculada,0,0
2020-03-27,Ingá,0,0
2020-03-27,Itabaiana,0,0
2020-03-27,Itaporanga,0,0
2020-03-27,Itapororoca,0,0
