,2020-08-28
Pilõezinhos,2
Curral Velho,0
Água Branca,2
Catingueira,2
Bom Jesus,0
Logradouro,2
Serra Branca,3
São Sebastião de Lagoa de Roça,3
Damião,1
Uiraúna,8
São José de Caiana,2
Baía da Traição,6
Alhandra,17
Alagoa Grande,24
Araruna,7
Nova Floresta,0
Taperoá,2
Belém,12
Picuí,2
São João do Tigre,0
Alagoa Nova,9
Riachão,1
Conde,13
Olho d'Água,1
Santana de Mangueira,0
Princesa Isabel,5
Pilões,2
Caturité,1
Várzea,0
Mulungu,9
Camalaú,0
Igaracy,0
Tacima,1
Bonito de Santa Fé,1
Lagoa,0
Salgadinho,0
São José dos Ramos,1
Zabelê,0
Ingá,16
Joca Claudino,0
Cacimba de Dentro,6
Nazarezinho,1
Aparecida,3
Massaranduba,4
Juazeirinho,1
Itapororoca,9
Pedra Branca,0
Duas Estradas,1
Sobrado,4
Pilar,11
Santa Rita,143
Barra de Santa Rosa,1
São Domingos do Cariri,3
Quixaba,1
Pirpirituba,2
São Francisco,1
Paulista,2
Marcação,3
Caldas Brandão,2
São João do Cariri,0
Fagundes,5
Itaporanga,6
Manaíra,1
Puxinanã,2
Cuité,1
Campina Grande,299
Pitimbu,8
Baraúna,0
Alagoinha,9
São José do Bonfim,3
Umbuzeiro,3
Vista Serrana,1
Rio Tinto,23
Alcantil,0
Nova Palmeira,0
São João do Rio do Peixe,4
Teixeira,5
Areial,2
São José da Lagoa Tapada,0
Montadas,1
Cabedelo,61
Santa Inês,0
Desterro,1
Dona Inês,2
São Mamede,4
Barra de Santana,3
Cachoeira dos Índios,6
Olivedos,1
Serra Redonda,2
Passagem,0
São José de Princesa,0
Guarabira,56
Sertãozinho,2
Serraria,3
Natuba,2
Gurinhém,8
Cabaceiras,0
Riachão do Bacamarte,0
Riacho de Santo Antônio,0
Belém do Brejo do Cruz,1
Serra Grande,0
Queimadas,13
Bananeiras,2
Mãe d'Água,0
Triunfo,2
São José do Sabugi,1
Cajazeiras,40
Santa Luzia,7
Areia de Baraúnas,0
Juarez Távora,2
Catolé do Rocha,14
Jericó,1
Remígio,3
Serra da Raiz,0
Lastro,0
Mataraca,7
Assunção,0
Boa Vista,1
Pombal,5
Pocinhos,2
Sossêgo,0
Caraúbas,0
Gado Bravo,2
Santo André,0
Casserengue,4
Capim,5
Poço Dantas,2
Amparo,0
Mari,16
Parari,0
Lucena,6
São Domingos,0
Cruz do Espírito Santo,20
Ibiara,1
Curral de Cima,0
Gurjão,2
Mogeiro,4
Monte Horebe,0
Cuitegi,9
Bayeux,96
Emas,4
Sousa,30
Boqueirão,6
Tavares,2
São José do Brejo do Cruz,0
Pedras de Fogo,29
Congo,2
Caiçara,7
Areia,3
Santana dos Garrotes,0
Pedro Régis,2
Boa Ventura,0
São Sebastião do Umbuzeiro,0
Coxixola,0
Itabaiana,20
Santa Teresinha,1
Tenório,0
Araçagi,5
Riacho dos Cavalos,0
Aroeiras,1
Santa Cruz,2
Salgado de São Félix,2
São Bentinho,0
Maturéia,1
Vieirópolis,0
Junco do Seridó,4
Nova Olinda,0
Bom Sucesso,0
São José dos Cordeiros,0
Livramento,0
Santa Helena,0
Coremas,2
Cajazeirinhas,0
São José de Espinharas,0
São Vicente do Seridó,0
Lagoa Seca,16
Marizópolis,1
Condado,4
Piancó,6
Bernardino Batista,0
Itatuba,2
Jacaraú,5
São Bento,26
Cuité de Mamanguape,7
Barra de São Miguel,1
Algodão de Jandaíra,0
Mamanguape,36
Frei Martinho,0
Riachão do Poço,2
Ouro Velho,0
Caaporã,14
Borborema,0
Cubati,1
São Miguel de Taipu,4
Pedra Lavrada,0
Lagoa de Dentro,0
João Pessoa,817
Conceição,6
Imaculada,0
Prata,1
Solânea,5
Poço de José de Moura,0
Juripiranga,10
Sumé,2
Juru,0
Carrapateira,0
Soledade,1
Arara,6
São José de Piranhas,2
Brejo do Cruz,7
Cacimba de Areia,0
Aguiar,0
Malta,2
Sapé,46
Diamante,3
Cacimbas,1
Brejo dos Santos,0
Matinhas,2
Patos,83
Esperança,8
Monteiro,8
Santa Cecília,0
Mato Grosso,1
